kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50740;1;2;2;2.0;7;140;70;30;0;0;40;480;130;0;60;0;230;20;1.0;1.0;1.0;1.0;2.0
50742;2;1;2;1.0;7;0;80;80;0;0;0;630;90;0;70;0;0;0;1.0;1.0;1.0;1.0;2.0
50747;1;1;2;1.0;7;0;40;0;0;0;20;510;20;0;0;20;70;30;2.0;1.0;2.0;2.0;2.0
50748;1;2;1;2.0;6;490;10;0;0;0;0;440;10;0;130;0;210;0;2.0;2.0;1.0;1.0;1.0
50750;2;1;2;1.0;7;0;100;40;0;0;0;570;120;0;60;0;220;60;2.0;2.0;1.0;2.0;2.0
50756;1;2;2;1.0;3;0;30;0;0;0;190;550;60;0;0;0;120;0;1.0;1.0;1.0;1.0;2.0
50765;2;2;1;1.0;8;0;30;10;0;0;0;500;80;0;230;0;190;0;2.0;1.0;1.0;1.0;2.0
50768;1;2;1;3.0;5;380;10;0;0;0;30;300;100;0;60;0;10;0;1.0;1.0;1.0;1.0;1.0
50771;2;2;2;1.0;6;380;60;50;0;0;20;470;60;0;30;0;10;0;2.0;1.0;1.0;2.0;2.0
50781;1;1;1;1.0;4;00:00;01:00;00:00;00:00;00:00;00:20;08:40;01:00;00:00;01:00;00:00;00:00;00:00;1.0;2.0;1.0;1.0;1.0
50782;2;1;1;1.0;7;0;50;0;0;0;0;600;90;0;0;0;40;0;1.0;1.0;1.0;1.0;2.0
50786;1;1;1;3.0;4;430;20;20;40;0;0;540;90;0;0;0;150;0;1.0;1.0;2.0;1.0;1.0
50803;1;1;1;1.0;7;0;0;0;0;0;180;500;110;0;170;0;210;0;2.0;1.0;2.0;1.0;1.0
50810;1;2;1;3.0;6;660;50;30;0;0;0;330;70;0;60;0;0;0;2.0;2.0;2.0;2.0;2.0
50811;2;1;1;1.0;7;360;10;0;0;0;20;400;90;0;0;0;250;0;2.0;1.0;1.0;2.0;1.0
50817;1;2;1;1.0;7;500;0;0;0;0;30;440;160;0;10;0;60;0;2.0;1.0;2.0;1.0;1.0
50820;2;1;2;1.0;7;0;20;20;0;0;60;550;50;0;0;0;440;0;1.0;2.0;2.0;1.0;1.0
50823;2;2;2;3.0;6;0;60;0;0;0;50;660;80;0;0;0;0;0;1.0;1.0;1.0;2.0;2.0
50824;1;2;1;1.0;7;520;10;0;0;0;0;410;120;0;0;0;0;0;2.0;1.0;2.0;2.0;2.0
50831;2;2;2;1.0;5;0;40;30;0;0;0;510;50;0;70;0;0;0;1.0;1.0;2.0;1.0;1.0
50840;1;2;1;1.0;9;00:00;06:00;00:30;00:00;00:00;00:00;06:50;03:30;00:00;01:00;02:00;00:00;00:00;2.0;2.0;1.0;1.0;2.0
50844;1;2;1;1.0;7;0;20;0;0;0;40;?;110;0;360;0;330;0;2.0;2.0;2.0;2.0;2.0
50845;1;2;1;1.0;5;0;0;0;0;0;0;650;60;0;50;0;250;0;1.0;1.0;1.0;1.0;1.0
50846;2;1;2;1.0;4;00:00;01:10;00:00;00:00;00:00;02:20;07:00;03:10;00:00;00:30;00:00;00:40;00:00;1.0;2.0;2.0;1.0;2.0
50847;1;1;1;3.0;6;480;10;0;0;0;0;480;60;0;0;0;240;0;2.0;1.0;1.0;2.0;1.0
50854;2;2;1;1.0;8;0;50;0;0;0;0;540;120;0;30;180;0;0;1.0;1.0;2.0;1.0;2.0
50856;2;2;2;1.0;7;460;60;60;0;0;30;540;140;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0
50858;1;1;2;1.0;8;00:00;00:50;00:20;00:00;00:00;01:00;08:50;01:20;00:00;02:50;00:00;02:50;00:20;1.0;1.0;2.0;2.0;2.0
50865;1;1;2;1.0;4;310;60;10;30;30;20;420;40;0;0;0;160;0;2.0;2.0;1.0;2.0;2.0
50875;2;1;2;1.0;8;0;70;60;0;0;50;520;70;0;20;10;170;70;2.0;2.0;2.0;?;2.0
50887;1;2;1;1.0;4;660;0;0;50;0;0;550;30;0;0;0;30;0;2.0;2.0;2.0;1.0;1.0
50888;1;1;2;2.0;8;00:00;01:40;?;00:00;00:00;00:40;08:10;01:00;00:00;00:50;00:00;03:30;00:00;1.0;1.0;1.0;1.0;1.0
50890;2;1;1;2.0;5;480;30;10;0;0;0;410;50;0;0;0;150;0;1.0;2.0;1.0;2.0;2.0
50893;1;1;2;1.0;4;0;40;0;0;0;20;470;150;0;0;0;0;0;1.0;1.0;1.0;1.0;2.0
50894;2;1;2;1.0;6;40;60;30;0;0;0;540;60;0;30;0;250;0;1.0;1.0;2.0;1.0;1.0
50900;1;2;1;1.0;4;00:00;00:00;00:00;00:00;00:00;00:00;09:50;01:30;00:00;00:00;00:00;02:10;00:10;2.0;2.0;1.0;1.0;2.0
50909;2;2;1;1.0;7;0;0;0;0;0;0;410;120;0;10;0;110;10;1.0;1.0;1.0;2.0;1.0
50913;2;2;1;1.0;7;0;70;20;0;0;30;470;130;0;0;0;200;0;1.0;2.0;2.0;1.0;1.0
50928;1;2;1;2.0;7;0;0;0;0;0;0;?;120;0;0;0;120;0;2.0;1.0;1.0;2.0;2.0
50930;2;2;2;1.0;7;0;50;0;0;0;30;390;100;0;50;0;30;0;1.0;1.0;1.0;1.0;1.0
50936;2;2;1;1.0;4;0;30;0;0;0;0;490;100;0;0;0;360;0;1.0;1.0;2.0;1.0;1.0
50937;1;2;1;1.0;5;0;0;0;0;0;0;450;80;0;?;0;230;0;1.0;2.0;1.0;2.0;2.0
50945;1;1;1;2.0;8;00:00;00:20;00:10;00:00;00:00;00:50;09:50;02:10;00:00;01:10;00:00;03:20;00:00;2.0;1.0;1.0;1.0;2.0
50953;1;2;1;1.0;4;08:00;00:00;00:00;00:00;00:00;00:00;08:20;01:30;00:00;00:30;00:00;00:20;00:00;1.0;1.0;2.0;1.0;1.0
50956;2;2;1;2.0;5;06:50;00:40;00:00;00:00;00:00;00:00;08:30;01:10;?;01:20;00:00;02:20;00:00;1.0;2.0;1.0;1.0;1.0
50960;2;1;2;1.0;7;0;?;0;0;0;50;450;90;0;90;0;390;0;2.0;2.0;2.0;1.0;2.0
50966;2;1;1;1.0;7;0;60;20;0;0;20;610;110;0;50;0;70;0;1.0;2.0;2.0;2.0;1.0
